nombre;presentacion;marca;diferenciador;precio;imagen
Cepillo de  Dientes;Unidad;Colgate;360 Sensitive;13890;productos/xz2ol8kekj4hajpwn0dv
Cepillo de  Dientes;Unidad;Pro;Doble Accion ;7400;productos/epgauwmyfd9syzrur2z0
Cepillo de  Dientes;Unidad;Colgate;Slim Soft 2x1;14300;productos/jvek4xhfm64bf2pajwas
Cepillo de  Dientes;Unidad;Oral-B;2x1 Pro-Salud;16500;productos/kjtzay8b6ersjjcenhsy
Cepillo de  Dientes;Unidad;Oral-B;2x1;14760;productos/aifuc2hgsoetainakrha
Cepillo de  Dientes;Unidad;Pro;2x1;9140;productos/mc0bq6x6ze8jwcahbrfo
Cepillo de Dientes;Unidad;Oral-B;Medio 40;16650;productos/epyzl6aalfsqbpkyimws
Cepillo de Dientes;Unidad;Pro;Deluxe;6600;productos/bigwfsxkczmaufvol63i
Cereal;300g;Musli;Melocoton ;7200;productos/m9ncs5fz6nzkrpybjpmx
Cereal ;320g;Chocho Krispis ;;10600;productos/yi2ucrbsptawevw1mims
Cereal ;400g;Special K Original ;Special K Original ;11300;productos/xc5dzjt0oeywzbvmokil
Cereal ;420g;Zucaritas ;;9600;productos/euvojcaxejzxnkk3irfj
Cereal ;200g;Corn Flakes;Original;5300;productos/rqipxqkj8iop4botjzgf
Cereal ;260g;Fitness;;9100;productos/hoob4amkc4qv9wtlk2aa
Cereal ;405g;Froot Loops;;15700;productos/jsvobzjgfl05cwh2jbyn
Cereal ;450g;Special K Original ;;10900;productos/dv1v23n31qxc60iduzgw
Cereal ;215g;Choco Pops;;9100;productos/n1lqajansxwrtj7xtva3
Cereal ;500g;Chocapic ;;15900;productos/fmzmveqvn39ycwqoj3oa
Cereal ;230 g;Trix;;8300;productos/rdvcvatpc6vm1uxirsld
Cerveza;330ml;Heineken;;6900;productos/n2hgjpwssnrpgjfzr5x3
Cerveza;355ml;Corona ;Extra;6900;productos/b7lstii4khecwjcuzkwf
Cerveza;330ml;Aguila ;Lata ;2500;productos/utvt6suxodhluqdqrk5c
Cerveza;330ml;Aguila Cero;Lata ;2500;productos/gxqqaudtn0pewe9lc7eu
Cerveza;330ml;Club Colombia ;Dorada Lata;2900;productos/ulligih7bs9jhqdm23ls
Cerveza;330ml;Club Colombia ;Negra Lata;2900;productos/anjzj3e5zmv2xlylomim
Cerveza;330ml;Club Colombia ;Roja Lata;2900;productos/ruu01dnup4s2aas5t18p
Cerveza;330ml;Lite ;Lata ;2800;productos/n1s7oiu4oapqgikhjhaa
Cerveza;330ml;Poker;Lata;2500;productos/f36i8nopdykh7llerc9k
Cheese Tris ;45g;Cheese Tris ;;1400;productos/ibvmeehorqossbm7jq2z
Cheetos ;40g;Cheetos ;Queso Cremoso ;1500;productos/qjnfvbbkiwacd9r2ypkv
Cheetos ;50g;Cheetos ;Horneados Trissitos;1500;productos/juxjpfgsthy67kgpttkp
Cheetos ;53g;Cheetos ;Horneados Mix Extra Queso ;1500;productos/avdulzpq0tsnkdsp1mql
Cheetos ;50g;Cheetos ;Horneados ;1500;productos/njcrzuhqhcsfdebufwws
Cheetos ;58g;Cheetos ;Horneados Maxi;2500;productos/lhqgnlycfphq3quzu0up
Cherry;750ml;Manischewitz;;39900;productos/bbvzlcqgvwm0ne5addek
Chicarron Americano ;13g;Jacks;Natural;1500;productos/ckramrf8bbrxgrniiktj
