nombre,presentacion,marca,diferenciador,precio,imagen
Chocolatina ,52.7g,Snickers,,2500,Chocolatina 52.7gSnickers.jpg
Chocolatina ,52g,Milky Way ,,2500,Chocolatina 52gMilky Way .jpg
Chokis ,19g,Chokis ,,1500,Chokis 19gChokis .jpg
Cholitos ,240g,Choclitos ,Limon XXL,3500,Cholitos 240gChoclitos Limon XXL.jpg
Cholitos ,29g,Choclitos ,Limon ,900,Cholitos 29gChoclitos Limon .jpg
Chupeta ,25u,Tipitin ,Leche ,2000,Chupeta 25uTipitin Leche .jpg
Chupeta,24u,Pirulito ,Leche ,4500,Chupeta24uPirulito Leche .jpg
Cigarrillos ,10u,Belmont,,1900,Cigarrillos 10uBelmont.jpg
Cigarrillos ,10u,Kool,Blue,2500,Cigarrillos 10uKoolBlue.jpg
Cigarrillos ,10u,Kool,White,2500,Cigarrillos 10uKoolWhite.jpg
Cigarrillos ,10u,Marlboro ,Gold,2500,Cigarrillos 10uMarlboro Gold.jpg
Cigarrillos ,10u,Marlboro ,Ice Express,2500,Cigarrillos 10uMarlboro Ice.jpg
Cigarrillos ,10u,Mustang,,1900,Cigarrillos 10uMustang.jpg
Cigarrillos ,20u,Kool,Blue,4900,Cigarrillos 20uKoolBlue.jpg
Cigarrillos ,20u,Kool,White,4900,Cigarrillos 20uKoolWhite.jpg
Cigarrillos ,20u,Lucky Strike,,4900,Cigarrillos 20uLucky Strike.jpg
Cigarrillos ,20u,Mustang ,,4000,Cigarrillos 20uMustang .jpg
Cigarrillos ,18u,Piel Roja,,3200,Cigarrillos Piel Roja.jpg
Clorox,1000 cm3,Clorox,Lavanda,3720,Clorox1000 cm3CloroxLavanda.jpg
Clorox,1000 cm3,Clorox,Regular,3420,Clorox1000 cm3CloroxRegular.jpg
Color,55g,El Rey ,,1200,Color55gEl Rey .jpg
Comino ,55g,El Rey ,,2500,Comino 55gEl Rey .jpg
Compota,113g,Alpina,Pera,2340,Compota113 gAlpinaPera.jpg
Compota,113g,Heinz,Pera,2300,Compota113 gHeinzPera.jpg
Condones ,3u,M,Mayor Placer ,8900,Condones 3uMMayor Placer .jpg
Condones ,3u,M,Natural,7600,Condones 3uMNatural.jpg
Condones,3u,Today,Hot Sensation,8900,Condones3 UnidadesTodayHot Sensation.jpg
Condones,3u,Today,Lubricado,9500,Condones3 UnidadesTodayLubricado.jpg
Condones,3u,Today,Punto G,8900,Condones3 UnidadesTodayPunto G.jpg
Condones,3u,Today,Triple Pleasure,9500,Condones3 UnidadesTodayTriple Pleasure.jpg
Bon Bon Bum,24u,Bon Bon Bum,Surtido ,7400,Confiteria y Dulces Bombon Paquete 24 undBon Bon BumSurtido .jpg
Menta ,17g ,Halls XS,Mentho Lyptus ,1800,Confiteria y Dulces Menta17 g Halls XS.jpg
Crema  Dental,75ml,Colgate,Triple Accion,4300,Crema  Dental75 mlColgateTriple Accion.jpg
Crema ,76g,Maggi,Tomate,2800,Crema 76gMaggiTomate.jpg
Crema ,88g,La Sopera,Ajiaco ,2900,Crema 88gLa SoperaAjiaco .jpg
Crema ,90g,La Sopera,Pollo,2900,Crema 90gLa SoperaPollo.jpg
Crema ,41.5g,La Sopera,Ajiaco ,1900,Crema de Ajiaco41.5gLa Sopera.jpg
Crema de Leche ,125g,Alqueria,,3500,Crema de Leche 125gAlqueria.jpg
Crema de Leche ,250g,Alpina,,4900,Crema de Leche 250gAlpina.jpg
Crema de Leche ,295g,Nestle,,5900,Crema de Leche 295gNestle.jpg
Crema,45g,La Sopera,Pollo con Verduras ,1900,Crema de Pollo con Verduras 45gLa Sopera.jpg
Crema de Whisky,375ml,Baileys,Original ,25900,Crema de Whisky375mlBaileysOriginal .jpg
Crema de Whisky,750ml,Baileys,Original ,43900,Crema de Whisky750mlBaileysOriginal .jpg
Crema Dental ,100ml,Colgate ,Triple Accion ,4900,Crema Dental 100mlColgate Triple Accion .jpg
Crema Dental,100ml x 3,Colgate,Triple Accion,12800,Crema Dental100 ml x 3ColgateTriple Accion.jpg
Crema Dental,140g,Oral-B,3D White,10620,Crema Dental140 gOral-B3D White.jpg
Crema Dental,150ml,Colgate,Menta Anticaries,7300,Crema Dental150 mlColgateMenta Anticaries.jpg
Crema Dental,70g,Colgate,Luminous White,11260,Crema Dental70 gColgateLuminous White.jpg
Crema Dental,75ml x 3,Colgate ,Triple Accion,8800,Crema Dental75 ml x 3Colgate Triple Accion.jpg
Crema Dental,75ml x 3,Colgate,Econo Pack,7800,Crema Dental75 ml x 3ColgateEcono Pack.jpg
Crema Dental,75ml,Colgate,Luminous White,8400,Crema Dental75 mlColgateLuminous White.jpg
Crema Dental,75ml,Colgate,Total 12,8400,Crema Dental75 mlColgateTotal 12.jpg
Crema Dental,75ml,Colgate,Triple Accion,7300,Crema Dental75 mlColgateTriple Accion.jpg
Crema,70g,Maggi,Pollo,2800,Crema70gMaggiPollo.jpg
Crispetas ,96g,Act II,Queso Cheddar,4400,Crispetas 96gAct IIQueso Cheddar.jpg
Crispetas,161.25g,Act II,Caramelo ,4400,Crispetas161.25gAct IICaramelo .jpg
Crispetas,91g,Act II,Mantequilla Extra ,2800,Crispetas91gAct IIMantequilla Extra .jpg
De Todito,37g,De Todito,BBQ 4,2000,De Todito37gDe ToditoBBQ 4.jpg
De Todito,37g,De Todito,Mayo con Mostaza 4,2000,De Todito37gDe ToditoMayo con Mostaza 4.jpg
De Todito,48g,De Todito,Criollo 4,3900,De Todito48gDe ToditoCriollo 4.jpg
De Todito,48g,De Todito,Mix,2000,De Todito48gDe ToditoMix.jpg
De Todito,48g,De Todito,Paketon BBQ,2000,De Todito48gDe ToditoPaketon BBQ.jpg
De Todito,48g,De Todito,Paketon Natural,2000,De Todito48gDe ToditoPaketon Natural.jpg
Desodorante ,20g,Lady Speed Stick,Double Defense ,9200,Desodorante 20gLady Speed StickDouble Defense .jpg
Desodorante ,30ml,Rexona ,V8,9100,Desodorante 30mlRexona V8.jpg
Desodorante ,30ml,Rexona Women ,Bamboo,9100,Desodorante 30mlRexona Women Bamboo.jpg
Desodorante ,76g,Speed Stick,24/7,10100,Desodorante 76gSpeed Stick24-7.jpg
Desodorante,45g,Speed Stick,Lady Wild Fressia,10380,Desodorante45 gSpeed StickLady Wild Fressia.jpg
Desodorante,50g,Rexona,V8,12960,Desodorante50 gRexonaV8.jpg
Desodorante,50g,Speed Stick,Original,11090,Desodorante50 gSpeed StickOriginal.jpg
Desodorante,85g,Speed Stick,Original Gel,13880,Desodorante85 gSpeed StickOriginal Gel.jpg
Detergente As,1000g,Dersa,Limon,5080,Detergente As1000 gDersaLimon.jpg
Comida Perro ,1K,Purina Dog Chow,Adultos,10100,Dog Chow1 KPurinaAdultos.jpg
Comida Perro ,374g,Purina Dog Chow,Cordero y Arroz,7070,Dog Chow374 gPurinaCordero y Arroz.jpg
Comida Perro ,374g,Purina Dog Chow,Pavo y Pollo,7070,Dog Chow374 gPurinaPavo y Pollo.jpg
Dolex Forte,8 Tabletas,Dolex,Dolor Fuerte,8780,Dolex Forte8 TabletasGskDolor Fuerte.jpg
Dolex Gripa,12 Tabletas,Dolex,Triple Accion,7000,Dolex Gripa12 TabletasGskTriple Accion.jpg
Dolex,8u,Dolex,Forte ,8200,Dolex8uDolexForte .jpg
Doritos ,190g,Doritos ,Mega Queso,3500,Doritos 190gDoritos Mega Queso.jpg
Doritos ,30g ,Doritos ,Queso Atrevido ,1300,Doritos 30g Doritos Queso Atrevido .jpg
Emulsion de Scott,450cm3,Scott,Regular,17100,Emulsion de Scott450 cm3ScottRegular.jpg
Encendedor,Unidad,Bic,,2000,EncendedorUnidadBic.jpg
